tank;treat;comp;PD;PSV;div;dist;time;dc;ph;prbio;prod;prpro;resp;
82;4;5;3989.200;0.6198539 ;1;1;6;3.913;123.7;44.8;0.226;158.1;0.148;
36;1;7;2496.233;0.3513311;1;0;5;5.053;14;75.93;0.226;30.92;0.144;
5;5;11;4901.300;0.5844182;9;1;3;4.543;5.61;3.1;0.226;38.7;0.193;
13;2;11;4901.300;0.5844182;9;0;4;4.94;3.33;26.22;0.226;30.72;0.192;
81;6;20;6579.633;0.5983689;15;1;3;4.978;2.41;42.4;0.226;23.4;0.16;
68;1;2;3706.65;0.7132152;1;0;3;4.9;2.18;50.9;0.223;54.3;0.199;
12;4;3;3644.667;0.7056692;1;1;5;5.463;0.47;18.89;0.223;24.46;0.161;
63;3;20;6579.633;0.5983689;15;0;2;5.652;4.17;118.59;0.223;86.6;0.198;
8;1;3;3644.667;0.7056692;1;0;4;5.305;1.08;67.91;0.222;79.75;0.206;
54;4;7;2496.233;0.3513311;1;1;4;5.175;6.68;12.43;0.222;51.47;0.156;
33;2;10;4184.467;0.5680870;9;0;4;5.255;3.91;9.98;0.222;34.25;0.172;
74;2;10;4184.467;0.5680870;9;0;4;5.215;7.46;11.45;0.222;63.41;0.177;
64;6;18;5401.617; 0.6314815;15;1;4;4.5;4.76;4.99;0.222;41.19;0.168;
40;4;2;3706.65;0.7132152;1;1;2;6.738;6.24;64.58;0.221;27.89;0.199;
41;5;10;4184.467;0.5680870;9;1;3;4.304;3.27;9.5;0.221;21.2;0.144;
55;3;18;5401.617; 0.6314815;15;0;2;5.338;5.64;52.45;0.221;45.4;0.236;
15;6;18;5401.617; 0.6314815;15;1;5;0;2.48;12.33;0.221;28.67;0.17;
52;6;19;5333.367;0.6592718;15;1;5;4.132;2.19;10.57;0.221;56.36;0.154;
8;1;3;3644.667;0.7056692;1;0;3;5.765;1.59;60.9;0.22;84.7;0.241;
10;6;15;5886.900;0.6351528;15;1;3;5.922;2.48;14.6;0.22;15.7;0.121;
2;2;12;4674.067;0.6206363;9;0;3;4.943;1.7;75.3;0.219;152.6;0.196;
59;2;13;4484.867;0.5180551;9;0;4;5.08;4.45;87.09;0.219;35.62;0.184;
53;2;14;5700.817;0.5884309;9;0;3;4.683;2;51.2;0.219;58.8;0.186;
75;3;15;5886.900;0.6351528;15;0;4;5.725;1.97;43.35;0.219;28.18;0.176;
54;4;7;2496.233;0.3513311;1;1;5;4.179;5.3;12.92;0.217;56.85;0.14;
80;5;10;4184.467;0.5680870;9;1;4;5.145;10.41;14.48;0.217;30.92;0.168;
48;5;13;4484.867;0.5180551;9;1;3;5.343;2.07;17.1;0.217;27.3;0.129;
19;2;14;5700.817;0.5884309;9;0;5;4.7;3.61;22.8;0.217;113.31;0.132;
29;2;9;4130.267;0.6809895 ;9;0;2;5.438;4.75;285.72;0.216;75.34;0.226;
84;1;7;2496.233;0.3513311;1;0;5;5.532;11.35;8.71;0.214;60.28;0.15;
9;2;13;4484.867;0.5180551;9;0;6;5.439;15.5;68.1;0.214;113.5;0.195;
64;6;18;5401.617; 0.6314815;15;1;2;4.548;5.19;43.84;0.214;31.41;0.251;
68;1;2;3706.65;0.7132152;1;0;5;4.668;2.7;57.44;0.213;33.27;0.144;
74;2;10;4184.467;0.5680870;9;0;5;5.221;7.92;11.74;0.213;42.27;0.165;
2;2;12;4674.067;0.6206363;9;0;4;5.26;3.21;161.26;0.213;84.25;0.161;
64;6;18;5401.617; 0.6314815;15;1;5;4.358;4.23;10.47;0.213;40.71;0.144;
25;4;7;2496.233;0.3513311;1;1;4;4.895;8.75;17.52;0.212;66.34;0.181;
53;2;14;5700.817;0.5884309;9;0;2;4.914;2.52;107.24;0.212;98.53;0.204;
43;4;3;3644.667;0.7056692;1;1;5;4.079;49.84;30.92;0.21;50.1;0.133;
4;3;15;5886.900;0.6351528;15;0;4;6.625;3.99;53.52;0.21;58.61;0.184;
52;6;19;5333.367;0.6592718;15;1;4;4.82;5.28;8.32;0.21;78.57;0.168;
34;5;13;4484.867;0.5180551;9;1;3;5.452;3.21;23.1;0.209;68;0.16;
46;3;16;5892.967;0.6028948;15;0;5;3.905;3.29;32.29;0.209;23.97;0.136;
8;1;3;3644.667;0.7056692;1;0;6;4;4.5;81.8;0.208;240.3;0.188;
28;5;9;4130.267;0.6809895 ;9;1;6;3.887;104.9;87.7;0.208;144;0.136;
13;2;11;4901.300;0.5844182;9;0;6;4.778;13.1;63.8;0.208;60.3;0.17;
57;6;17;6075.800;0.6443964;15;1;4;4.91;6.95;14.48;0.208;37.97;0.173;
38;3;21;5485.417;0.6329059 ;15;0;6;3.857;7.7;24.4;0.208;145.6;0.153;
6;4;4;3572.133;0.6729162;1;1;3;3.891;6.72;44.5;0.207;27;0.136;
28;5;9;4130.267;0.6809895 ;9;1;5;5.232;5.17;64.58;0.207;50.88;0.143;
38;3;21;5485.417;0.6329059 ;15;0;5;3.716;6.2;12.72;0.207;34.83;0.159;
1;1;4;3572.133;0.6729162;1;0;4;4.68;4.25;43.74;0.206;106.46;0.182;
59;2;13;4484.867;0.5180551;9;0;6;3.883;44.1;90.7;0.206;65.8;0.117;
19;2;14;5700.817;0.5884309;9;0;3;4.743;2.15;60.7;0.206;155.8;0.182;
75;3;15;5886.900;0.6351528;15;0;5;5.505;2.13;32.78;0.206;32.09;0.161;
26;3;18;5401.617; 0.6314815;15;0;6;4.052;238.8;139.3;0.206;317;0.123;
63;3;20;6579.633;0.5983689;15;0;5;6.847;18.32;216.93;0.206;120.16;0.146;
81;6;20;6579.633;0.5983689;15;1;6;3.983;5.1;118;0.206;279.5;0.183;
83;3;21;5485.417;0.6329059 ;15;0;4;8.63;5.52;28.67;0.206;94.23;0.182;
30;6;19;5333.367;0.6592718;15;1;4;6.21;6.46;14.38;0.205;33.37;0.173;
62;2;9;4130.267;0.6809895 ;9;0;3;5.891;4.63;95.8;0.204;32.4;0.2;
20;4;1;2141.15;0.3307402;1;1;5;4.395;2.83;9.3;0.203;60.86;0.124;
27;1;5;3989.200;0.6198539 ;1;0;6;4.678;257;108.8;0.202;296.3;0.138;
65;1;5;3989.200;0.6198539 ;1;0;6;3.835;10.4;35.1;0.202;58.7;0.159;
44;2;8;4567.150;0.6822085;9;0;6;4.383;152.9;56;0.202;120.6;0.136;
79;2;12;4674.067;0.6206363;9;0;4;5.885;2.87;35.23;0.201;70.16;0.167;
2;2;12;4674.067;0.6206363;9;0;5;4.868;0.82;54.4;0.201;32.58;0.13;
17;5;12;4674.067;0.6206363;9;1;5;4.374;2.1;6.46;0.201;43.05;0.132;
63;3;20;6579.633;0.5983689;15;0;4;6.915;7.91;36.4;0.201;118.2;0.156;
33;2;10;4184.467;0.5680870;9;0;6;5.596;6.8;41.1;0.2;90.8;0.173;
56;5;11;4901.300;0.5844182;9;1;6;3.491;37.8;45;0.2;105.3;0.151;
66;4;4;3572.133;0.6729162;1;1;4;4.5;3.55;33.27;0.199;107.64;0.148;
82;4;5;3989.200;0.6198539 ;1;1;4;4.655;5.05;13.89;0.199;37.67;0.126;
7;5;14;5700.817;0.5884309;9;1;4;5.845;5.87;42.66;0.199;117.32;0.183;
16;4;5;3989.200;0.6198539 ;1;1;4;6.415;9.69;18.3;0.198;232.88;0.161;
62;2;9;4130.267;0.6809895 ;9;0;4;5.26;4.81;147.95;0.198;39.53;0.147;
72;6;15;5886.900;0.6351528;15;1;4;4.915;3.9;16.24;0.198;47.16;0.162;
4;3;15;5886.900;0.6351528;15;0;6;4.039;7.9;73.4;0.198;109.6;0.16;
32;6;16;5892.967;0.6028948;15;1;4;4.72;4.32;32.29;0.198;120.16;0.167;
57;6;17;6075.800;0.6443964;15;1;6;3.604;27.1;35.2;0.198;134.6;0.134;
78;6;21;5485.417;0.6329059  ;15;1;4;3.815;3.18;12.82;0.198;59.2;0.137;
6;4;4;3572.133;0.6729162;1;1;5;3.716;1.85;50.88;0.196;119.38;0.131;
76;4;6;4106.900;0.6198539;1;1;5;5.311;5.34;13.8;0.196;64.97;0.162;
36;1;7;2496.233;0.3513311;1;0;4;5.195;3.86;32.09;0.196;23.39;0.135;
84;1;7;2496.233;0.3513311;1;0;4;4.035;3.73;9.39;0.196;56.85;0.148;
80;5;10;4184.467;0.5680870;9;1;5;5.121;8.83;24.56;0.196;51.57;0.141;
73;5;14;5700.817;0.5884309;9;1;4;4.77;4.78;48.83;0.196;120.94;0.164;
19;2;14;5700.817;0.5884309;9;0;6;4.852;11.5;27.3;0.196;142.9;0.141;
38;3;21;5485.417;0.6329059 ;15;0;4;5.24;6.89;16.34;0.196;60.76;0.166;
40;4;2;3706.65;0.7132152;1;1;3;6.404;1.74;5.6;0.194;11.9;0.138;
6;4;4;3572.133;0.6729162;1;1;4;5.08;3.54;56.66;0.194;68.5;0.132;
51;5;8;4567.150;0.6822085;9;1;5;4.595;2.34;8.12;0.194;48.44;0.132;
7;5;14;5700.817;0.5884309;9;1;6;4.313;3.6;135;0.194;413.3;0.166;
35;3;16;5892.967;0.6028948;15;0;6;3.952;4.9;68.9;0.194;51.7;0.135;
55;3;18;5401.617; 0.6314815;15;0;6;4.743;224.9;194.9;0.194;192.2;0.142;
29;2;9;4130.267;0.6809895 ;9;0;6;5.248;181.6;158.5;0.192;111.2;0.121;
41;5;10;4184.467;0.5680870;9;1;4;4.545;6.14;9.49;0.192;39.14;0.159;
46;3;16;5892.967;0.6028948;15;0;4;4.75;1.55;45.01;0.192;82.29;0.172;
82;4;5;3989.200;0.6198539 ;1;1;5;4.937;7.03;59.3;0.191;63.8;0.143;
37;1;6;4106.900;0.6198539;1;0;5;4.195;1.93;59.69;0.191;54.7;0.151;
73;5;14;5700.817;0.5884309;9;1;5;4.842;3.85;56.26;0.191;148.73;0.168;
21;1;2;3706.65;0.7132152;1;0;4;7.015;1.79;49.32;0.19;192.57;0.145;
43;4;3;3644.667;0.7056692;1;1;4;5.045;1.89;20.65;0.19;31.41;0.155;
63;3;20;6579.633;0.5983689;15;0;6;6.365;29.6;28.6;0.19;99;0.169;
47;6;16;5892.967;0.6028948;15;1;3;4.996;4.23;5.1;0.189;93.9;0.121;
69;4;2;3706.65;0.7132152;1;1;4;4.745;3.86;60.18;0.187;31.61;0.123;
70;5;12;4674.067;0.6206363;9;1;5;5.337;3.01;11.94;0.187;43.25;0.129;
79;2;12;4674.067;0.6206363;9;0;3;4.439;1.24;59.4;0.186;162.4;0.205;
53;2;14;5700.817;0.5884309;9;0;5;4.411;3.81;28.38;0.186;33.27;0.147;
67;3;17;6075.800;0.6443964;15;0;6;3.835;16.6;19.4;0.186;134.3;0.158;
11;3;20;6579.633;0.5983689;15;0;6;4.348;26.2;72;0.186;283.4;0.167;
78;6;21;5485.417;0.6329059  ;15;1;5;3.832;1.9;14.97;0.186;59.79;0.142;
60;1;1;2141.15;0.3307402;1;0;6;4.261;201.7;129.9;0.184;61.1;0.131;
43;4;3;3644.667;0.7056692;1;1;6;4.183;19.4;73.2;0.184;65.8;0.12;
41;5;10;4184.467;0.5680870;9;1;5;3.579;5.44;15.26;0.184;33.17;0.138;
14;3;19;5333.367;0.6592718;15;0;5;0;0.9;22.11;0.184;37.57;0.156;
30;6;19;5333.367;0.6592718;15;1;6;4.417;19.6;28.6;0.184;74.4;0.145;
61;5;9;4130.267;0.6809895 ;9;1;3;5.574;2.28;20;0.183;54.3;0.159;
84;1;7;2496.233;0.3513311;1;0;6;3.874;11.4;19.8;0.182;24.3;0.164;
10;6;15;5886.900;0.6351528;15;1;4;5.61;2.94;12.72;0.182;71.63;0.148;
14;3;19;5333.367;0.6592718;15;0;6;5.126;8.1;26.2;0.182;158.1;0.171;
3;6;21;5485.417;0.6329059  ;15;1;5;3.868;0.82;8.81;0.181;24.76;0.124;
68;1;2;3706.65;0.7132152;1;0;4;4.895;2.17;64.78;0.18;40.61;0.153;
45;1;4;3572.133;0.6729162;1;0;4;4.685;3.6;93.84;0.18;70.65;0.161;
77;1;6;4106.900;0.6198539;1;0;4;5.97;2.11;99.61;0.18;124.86;0.165;
46;3;16;5892.967;0.6028948;15;0;6;4.474;10.7;63.8;0.18;111.9;0.137;
15;6;18;5401.617; 0.6314815;15;1;6;4.565;16.4;33.3;0.18;53.2;0.159;
58;4;1;2141.15;0.3307402;1;1;5;4.258;1.32;54.99;0.179;49.81;0.135;
66;4;4;3572.133;0.6729162;1;1;5;4.395;1.37;28.67;0.179;85.72;0.125;
83;3;21;5485.417;0.6329059 ;15;0;5;4.411;77.24;102.16;0.179;96.68;0.159;
6;4;4;3572.133;0.6729162;1;1;6;3.613;4.3;95.7;0.178;464.6;0.153;
53;2;14;5700.817;0.5884309;9;0;4;4.965;2.3;32.19;0.178;67.22;0.163;
72;6;15;5886.900;0.6351528;15;1;6;4.352;11.1;29.9;0.178;97.9;0.164;
48;5;13;4484.867;0.5180551;9;1;5;4.479;2.43;15.36;0.177;23.58;0.133;
18;1;1;2141.15;0.3307402;1;0;4;6.77;2.3;51.76;0.176;58.22;0.163;
80;5;10;4184.467;0.5680870;9;1;6;3.752;10.1;45.3;0.176;281.8;0.161;
71;2;11;4901.300;0.5844182;9;0;4;4.9;2.71;99.71;0.176;117.81;0.185;
78;6;21;5485.417;0.6329059  ;15;1;6;4.322;5;27.1;0.176;154.6;0.147;
11;3;20;6579.633;0.5983689;15;0;4;5.315;3.86;62.23;0.175;145.6;0.17;
74;2;10;4184.467;0.5680870;9;0;6;4.3;10;35.9;0.174;50.9;0.142;
49;3;19;5333.367;0.6592718;15;0;6;4.878;14;28.4;0.174;42.7;0.17;
21;1;2;3706.65;0.7132152;1;0;5;5.005;0.2;31.51;0.173;97.26;0.135;
81;6;20;6579.633;0.5983689;15;1;4;4.99;5.27;45.01;0.173;117.42;0.148;
50;1;3;3644.667;0.7056692;1;0;6;4.639;8.1;27.5;0.172;84.9;0.168;
3;6;21;5485.417;0.6329059 ;15;1;6;3.787;4.4;48.4;0.172;82.2;0.142;
20;4;1;2141.15;0.3307402;1;1;4;6.05;5.1;13.5;0.171;51.96;0.156;
42;2;8;4567.150;0.6822085;9;0;4;5.88;0.97;78.48;0.171;74.27;0.185;
5;5;11;4901.300;0.5844182;9;1;5;3.716;6.16;7.73;0.171;65.95;0.136;
3;6;21;5485.417;0.6329059 ;15;1;4;5.575;5.41;14.68;0.171;72.41;0.145;
69;4;2;3706.65;0.7132152;1;1;6;5.135;41.3;80.1;0.17;41.1;0.123;
12;4;3;3644.667;0.7056692;1;1;6;4.357;5.2;64.6;0.17;308;0.174;
79;2;12;4674.067;0.6206363;9;0;5;4.468;4.51;95.6;0.17;63.99;0.187;
27;1;5;3989.200;0.6198539 ;1;0;4;5.28;3.85;59.39;0.169;127.99;0.203;
17;5;12;4674.067;0.6206363;9;1;4;5.64;3.71;6.07;0.169;58.12;0.123;
47;6;16;5892.967;0.6028948;15;1;4;4.69;7.32;6.16;0.169;40.22;0.129;
16;4;5;3989.200;0.6198539 ;1;1;6;3.643;5.6;26.2;0.168;282.2;0.166;
51;5;8;4567.150;0.6822085;9;1;4;4.605;2.17;3.52;0.168;52.45;0.133;
41;5;10;4184.467;0.5680870;9;1;6;-0.504;2.1;141.3;0.168;52.4;0.115;
22;3;17;6075.800;0.6443964;15;0;6;5.152;11.2;19.2;0.168;61.1;0.164;
21;1;2;3706.65;0.7132152;1;0;6;5.509;5;57.7;0.166;205.5;0.146;
37;1;6;4106.900;0.6198539;1;0;4;4.66;0.72;85.13;0.166;43.25;0.156;
48;5;13;4484.867;0.5180551;9;1;4;5.34;5.27;9.79;0.166;42.08;0.17;
69;4;2;3706.65;0.7132152;1;1;5;4.1;1.2;55.97;0.164;17.42;0.12;
31;4;6;4106.900;0.6198539;1;1;4;5.325;3.25;47.26;0.164;153.43;0.154;
62;2;9;4130.267;0.6809895 ;9;0;6;4.261;19.4;98.3;0.164;83;0.111;
54;4;7;2496.233;0.3513311;1;1;6;4.417;10.9;38.5;0.162;136.6;0.135;
23;5;8;4567.150;0.6822085;9;1;5;3.376;0.27;7.83;0.161;19.86;0.109;
60;1;1;2141.15;0.3307402;1;0;4;4.575;1.94;32.88;0.16;41.19;0.138;
58;4;1;2141.15;0.3307402;1;1;4;4.925;2.34;35.32;0.16;45.6;0.135;
18;1;1;2141.15;0.3307402;1;0;6;3.739;3.6;79.8;0.16;100.6;0.153;
39;6;17;6075.800;0.6443964;15;1;6;5.2;1.7;19.6;0.16;117;0.124;
81;6;20;6579.633;0.5983689;15;1;5;4.505;3.13;20.55;0.157;220.75;0.138;
17;5;12;4674.067;0.6206363;9;1;6;4.348;3.1;13.3;0.156;128.8;0.114;
52;6;19;5333.367;0.6592718;15;1;6;3.604;2.6;28.4;0.154;247.4;0.141;
61;5;9;4130.267;0.6809895 ;9;1;5;4.526;5.11;15.56;0.153;73.19;0.102;
37;1;6;4106.900;0.6198539;1;0;6;4.322;1;87.3;0.152;99.8;0.152;
5;5;11;4901.300;0.5844182;9;1;4;5.785;3.93;11.25;0.152;57.34;0.151;
79;2;12;4674.067;0.6206363;9;0;6;4.491;12.6;108.2;0.152;209.8;0.151;
48;5;13;4484.867;0.5180551;9;1;6;4.378;3.5;38.2;0.152;41.5;0.124;
34;5;13;4484.867;0.5180551;9;1;5;4.847;1.29;5.38;0.15;24.27;0.09;
23;5;8;4567.150;0.6822085;9;1;4;6.23;3.14;5.48;0.148;27.59;0.111;
71;2;11;4901.300;0.5844182;9;0;6;4.213;18.3;49.7;0.148;222.7;0.176;
64;6;18;5401.617; 0.6314815;15;1;6;4.291;8.8;33.5;0.148;116.2;0.144;
36;1;7;2496.233;0.3513311;1;0;6;5.304;1.9;94.9;0.144;49.3;0.117;
53;2;14;5700.817;0.5884309;9;0;6;3.843;10.5;67.1;0.144;93.9;0.164;
73;5;14;5700.817;0.5884309;9;1;6;3.93;1.7;116.8;0.144;26.6;0.153;
47;6;16;5892.967;0.6028948;15;1;5;4.595;1.38;6.46;0.143;30.43;0.12;
66;4;4;3572.133;0.6729162;1;1;6;4.422;1.8;51.1;0.142;41.5;0.121;
40;4;2;3706.65;0.7132152;1;1;5;5.905;2.49;5.77;0.141;21.53;0.109;
77;1;6;4106.900;0.6198539;1;0;5;5.263;1.6;75.83;0.141;115.76;0.134;
28;5;9;4130.267;0.6809895 ;9;1;4;6.85;1.63;27.01;0.141;77.01;0.124;
20;4;1;2141.15;0.3307402;1;1;6;4.261;1.8;56;0.14;169.9;0.08;
61;5;9;4130.267;0.6809895 ;9;1;4;4.685;2.35;12.92;0.139;43.35;0.101;
19;2;14;5700.817;0.5884309;9;0;4;6.25;2.18;25.25;0.139;72.51;0.136;
23;5;8;4567.150;0.6822085;9;1;6;4.922;1.4;31.5;0.138;72.4;0.118;
75;3;15;5886.900;0.6351528;15;0;6;5.348;3.7;54.5;0.138;110.4;0.147;
70;5;12;4674.067;0.6206363;9;1;4;4.88;3.57;9.3;0.136;16.44;0.107;
31;4;6;4106.900;0.6198539;1;1;6;3.97;9.4;111.2;0.134;358.1;0.121;
25;4;7;2496.233;0.3513311;1;1;6;3.883;2.1;22.8;0.134;75.9;0.124;
51;5;8;4567.150;0.6822085;9;1;6;4.157;1.8;21.7;0.134;178.9;0.111;
40;4;2;3706.65;0.7132152;1;1;4;7.005;1.85;4.5;0.131;23.78;0.103;
47;6;16;5892.967;0.6028948;15;1;6;5.726;5.8;13.5;0.13;105.7;0.124;
24;6;20;6579.633;0.5983689;15;1;6;4.27;1;20.6;0.122;140.9;0.143;
34;5;13;4484.867;0.5180551;9;1;4;5.85;2.01;5.87;0.118;40.8;0.099;
68;1;2;3706.65;0.7132152;1;0;6;4.7;3.1;105.7;0.116;52.1;0.135;
58;4;1;2141.15;0.3307402;1;1;6;4.317;4.2;95.5;0.114;166;0.116;
70;5;12;4674.067;0.6206363;9;1;6;4.087;3.5;35.3;0.108;56.8;0.11;
76;4;6;4106.900;0.6198539;1;1;6;4.757;0.8;31;0.106;48.5;0.124;
2;2;12;4674.067;0.6206363;9;0;6;4.991;10;102.4;0.1;106.9;0.121;
34;5;13;4484.867;0.5180551;9;1;6;4.83;3.3;11.4;0.098;54;0.096;
40;4;2;3706.65;0.7132152;1;1;6;5.348;0.6;20.4;0.096;72.4;0.099;
77;1;6;4106.900;0.6198539;1;0;6;4.73;3.7;33.9;0.096;224.7;0.135;
61;5;9;4130.267;0.6809895 ;9;1;6;4.783;17.5;46.5;0.096;110;0.081;
